Alumni-ID,Timestamp,Tahun Masuk,Tahun Wisuda,Status saat ini:,Waktu Mendapatkan Pekerjaan:,Tahun masuk saat anda melanjutkan studi setelah lulus dari Prodi Matematika:,Posisi anda saat ini di tempat bekerja saat Ini:,Nama Universitas dan Kota tempat melanjutkan Studi setelah S1,Nama jurusan/program studi setelah S1,Tahun saudara mulai berwirausaha:,Bidang wirausaha:,Kesesuaian Kurikulum:,Kesesuaian Bidang Ilmu:,Perkiraan rata-rata penghasilan (take-home-pay) anda per-bulan saat ini (dalam juta rupiah):
23,7/26/2023 10:17,2018,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Junior Application Developer,,,,,4,3,4.9
24,7/26/2023 10:31,2011,2016,Karyawan Swasta,3-6 Bulan,,Guru Matematika,,,,,4,3,
25,7/26/2023 11:13,2017,2021,Karyawan Swasta,6-12 bulan,,Analis,,,,,4,4,5.75
26,7/26/2023 11:14,2016,2020,Karyawan Swasta,6-12 bulan,,Pegawai Kontrak,,,,,4,3,5
27,7/26/2023 11:20,2012,2017,Karyawan Swasta,Kurang dari 3 bulan.,,General Manager,,,,,4,3,
28,7/26/2023 11:27,2016,2021,Karyawan Swasta,6-12 bulan,,Social Media Specialist & SEO Content Writer,,,,,1,2,6
29,7/26/2023 12:09,2016,2020,Karyawan Swasta,Kurang dari 3 bulan.,,MARKETING DATA ANALYST,,,,,4,3,5
30,7/27/2023 22:01,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data Management,,,,,4,4,4
31,7/27/2023 19:13,2017,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Staf,,,,,5,5,6
32,7/27/2023 20:03,2017,2022,Karyawan Swasta,6-12 bulan,,Guru Honorer Matematika,,,,,5,5,
33,7/27/2023 20:06,2019,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Power BI Developer Staff,,,,,3,4,7
34,7/27/2023 20:12,2015,2020,Karyawan Swasta,lebih dari 12 bulan.,,,,,,,5,5,
35,7/27/2023 22:02,2015,2021,Karyawan Swasta,lebih dari 12 bulan.,,Data Analis,,,,,4,3,6
36,7/27/2023 20:47,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Staff Data Processing,,,,,4,3,5
37,7/27/2023 20:48,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Tenaga pengajar,,,,,3,4,4
38,7/27/2023 20:49,2017,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Quantitative Research Executive,,,,,4,4,6
39,7/27/2023 21:40,2017,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Analyst,,,,,4,4,
40,7/27/2023 21:51,2017,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Data Processing Executive,,,,,5,5,5
41,7/27/2023 21:56,2016,2021,Karyawan Swasta,3-6 Bulan,,Support Marketing Agency,,,,,3,3,2
42,7/27/2023 21:58,2009,2013,Karyawan Swasta,Kurang dari 3 bulan.,,AVP - Dedicated Service Director for Multinational corporate and Financial Institutions clients,,,,,5,5,40
43,7/27/2023 21:59,2014,2019,Karyawan Swasta,Kurang dari 3 bulan.,,Data Engineer,,,,,3,3,
44,7/27/2023 22:09,2005,2009,Karyawan Swasta,Kurang dari 3 bulan.,,Subbagian Sistem dan Pengaduan Masyarakat,,,,,3,3,4
45,7/27/2023 22:10,2009,2013,Karyawan Swasta,3-6 Bulan,,Field sales Manager,,,,,3,3,20
46,7/27/2023 22:39,2016,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Web Developer,,,,,4,1,6
47,7/28/2023 3:03,2011,2016,Karyawan Swasta,Tidak berencana mencari pekerjaan,2017,Dosen,Universitas Brawijaya,Statistika,,,5,5,4
48,7/25/2023 9:51,2016,2022,Melamar Pekerjaan,Belum mendapatkan pekerjaan,-,-,-,-,-,-,5,5,
49,7/26/2023 9:57,2016,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,-,-,-,-,-,-,4,3,
50,7/26/2023 19:37,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
51,7/27/2023 12:11,2016,2022,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,2,3,
52,7/27/2023 12:38,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,3,4,
53,7/27/2023 15:45,2016,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,2,3,
54,7/27/2023 19:00,2017,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,3,4,
55,7/27/2023 19:25,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
56,7/27/2023 19:31,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
57,7/27/2023 19:40,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
58,7/26/2023 9:57,2016,2021,"Melanjutkan Studi, Wirausaha",Tidak berencana mencari pekerjaan,2021,,"Universitas Indonesia, Depok",Matematika,,,5,5,
59,7/27/2023 12:43,2011,2016,Melanjutkan Studi,Kurang dari 3 bulan.,2021,Dosen,Magister Matematika Universitas Indonesia dan Doktor Matematika Universitas Gadjah Mada,Matematika,,,4,4,
60,7/27/2023 21:39,2017,2022,"Karyawan, Melanjutkan Studi",Kurang dari 3 bulan.,2022,Guru,UNJ,Pendidikan Matematika,,,5,4,2
61,7/27/2023 21:49,2019,2023,"Karyawan, Melanjutkan Studi",Kurang dari 3 bulan.,2023,Staff Notaris,Universitas Ibnu Chaldun Jakarta,Komunikasi dan Penyiaran Islam,,,5,4,
62,7/27/2023 21:52,2019,2023,Melanjutkan Studi,Belum mendapatkan pekerjaan,,,,,,,4,4,
63,7/27/2023 19:47,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,5,5,
64,7/27/2023 20:48,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,3,
65,7/27/2023 20:48,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
66,7/27/2023 23:27,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,5,4,
67,7/28/2023 3:23,2017,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,5,5,
68,7/28/2023 0:59,2013,2018,Melanjutkan Studi,3-6 Bulan,2019,-,"Chongqing University, Chongqing, China",Biomedical Engineering,-,-,3,2,1
69,7/25/2023 17:35,2006,2011,Mengurus Rumah Tangga,Kurang dari 3 bulan.,2013,,Unindra PGRI Jakarta,Pendidikan matematika,,,5,2,
70,7/26/2023 9:45,2015,2020,Mengurus Rumah Tangga,Kurang dari 3 bulan.,,,,,,,5,5,
71,7/26/2023 9:51,2003,2007,Wirausaha,Kurang dari 3 bulan.,,,,,2017,Retail,4,4,2
72,7/27/2023 20:15,2012,2017,Wirausaha,Wirausaha,-,Owner,-,-,2018,"Wadah kredit angsuran dan investasi syariah, jual beli barang dengan akad murabahah tanpa riba dan tanpa wakalah",3,3,12
73,7/27/2023 22:02,2012,2016,Wirausaha,Kurang dari 3 bulan.,,Cambridge A Level Mathematics Teacher,,,2019,Jasa Privat dan Bimbingan Belajar Zhofir Tutors,4,4,8
74,7/27/2023 14:06,2004,2008,Karyawan Swasta,3-6 Bulan,,,,,,,3,3,
75,7/27/2023 15:48,2015,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Operator,,,,,4,3,
76,7/28/2023 9:10,2019,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Data Analyst Intern,,,,,4,3,
77,7/27/2023 22:17,2003,2007,Karyawan Swasta,3-6 Bulan,,Relationship Manager Konsumer,,,,,3,3,7
78,7/28/2023 5:16,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data Analytic,,,,,5,5,
79,7/28/2023 5:20,2016,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Guru Math SD,,,,,5,4,5
80,7/28/2023 5:42,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Guru,,,,,4,5,
81,7/28/2023 5:50,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Quantitative Research Executive,,,,,3,3,6
82,7/28/2023 5:50,2014,2019,Karyawan Swasta,Kurang dari 3 bulan.,,Operation Planning Analyst,,,,,2,3,8
83,7/28/2023 5:52,2014,2019,Karyawan Swasta,lebih dari 12 bulan.,,Admin Underwriting,,,,,2,2,5
84,7/28/2023 6:38,2003,2007,Wirausaha,Kurang dari 3 bulan.,,,,,2012,"Retail furniture kayu, produksi dan penjualan mebel kayu",2,1,5
85,7/28/2023 8:01,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data Analyst,,,2019,Online shop dibidang fashion,5,5,6
86,7/28/2023 8:55,2015,2021,Karyawan Swasta,6-12 bulan,,Staff Admin Sales,,,,,4,3,4
87,7/28/2023 9:37,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data Analyst,,,,,4,4,
88,7/28/2023 9:44,2016,2021,Karyawan Swasta,Kurang dari 3 bulan.,,Lead Business Analyst,,,,,4,4,6
89,7/28/2023 9:46,2003,2008,karyawan BUMN,Kurang dari 3 bulan.,2011,Pranata Humas,Institut Teknologi Bandung,Sains Komputasi,,,4,2,10
90,7/28/2023 9:46,2006,2010,Karyawan Swasta,Kurang dari 3 bulan.,,Programmer,,,,,4,4,14
91,7/28/2023 9:59,2011,2017,Karyawan Swasta,Kurang dari 3 bulan.,2018,Manajer Unit Bisnis & CERCONDESO (Center for Rural Community Development and Social Entreprenuership/Pusat Pengembangan Masyarakat Desa dan Kewirausahaan Sosial),Universitas Islam Negeri Jakarta,Psikologi/Psikometri,,,4,4,4
92,7/28/2023 10:24,2009,2014,Karyawan Swasta,Kurang dari 3 bulan.,,Sales Support (Document Export),,,,,3,1,8.5
93,7/28/2023 10:27,2015,2020,Karyawan Swasta,lebih dari 12 bulan.,,,,,,,3,2,6
94,7/28/2023 10:54,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,Corporate Planning Analyst Intern,,,2023,,5,3,2
95,7/28/2023 11:15,2006,2010,Dosen,Kurang dari 3 bulan.,2011,Dosen,Institut Teknologi Bandung,Matematika,,,5,5,3.5
96,7/28/2023 12:36,2018,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,3,
97,7/28/2023 14:01,2017,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Data analyst,,,,,4,4,
98,7/28/2023 14:28,2006,2010,Karyawan Swasta,3-6 Bulan,,ETL Developer,,,,,5,5,15
99,7/31/2023 14:14,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,,,,,,,4,4,
100,7/31/2023 14:30,2019,2023,Melamar Pekerjaan,Belum mendapatkan pekerjaan,-,-,-,-,-,-,5,5,
101,8/2/2023 13:22,2015,2022,Karyawan Swasta,Kurang dari 3 bulan.,,Staff Administrasi,,,,,4,4,4
102,8/2/2023 13:23,2016,2021,"Melanjutkan Studi, Wirausaha",Wirausaha,2023,,Universitas budi luhur,Manajemen,2018,Memiliki bimbel private,5,5,6
103,8/2/2023 13:27,2019,2023,karyawan BUMN,Kurang dari 3 bulan.,,Officer Development Program (ODP),,,,,3,3,
104,8/2/2023 13:29,2017,2022,Guru,Kurang dari 3 bulan.,,Guru Mata Pelajaran,,,,,4,4,
105,8/2/2023 13:54,2015,2020,Karyawan Swasta,6-12 bulan,,Finance Staff,,,,,4,2,4
106,8/2/2023 14:39,2017,2023,Karyawan Swasta,Kurang dari 3 bulan.,,Administrasi HR Database,,,,,4,4,
107,8/2/2023 16:50,2011,2016,Karyawan Swasta,Kurang dari 3 bulan.,2018,AI & Data Analytics,Universitas Indonesia,Matematika,,,4,4,
108,8/3/2023 16:37,2016,2021,Karyawan Swasta,6-12 bulan,,Assistant,,,,,3,3,4.5
109,8/3/2023 16:44,2003,2007,Karyawan Swasta,3-6 Bulan,,Branch Operation & Service Manager,,,,,2,2,
110,10/6/2023 14:40,2018,2023,Karyawan Swasta,3-6 Bulan,,Data Analyst,,,,,3,4,5
111,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,
